,Compound,Date,Negative,Neutral,News Outlet,Positive,Source Account,Tweets Ago,Tweets Text
96,-0.1779,Sat Apr 28 10:31:05 +0000 2018,0.855,0.145,@CNN,0.0,CNN,97,These mysterious Arctic ice holes have NASA scientists puzzled https://t.co/EX5e9ACPux https://t.co/93xOfQRUqP
97,-0.5267,Sat Apr 28 10:16:05 +0000 2018,0.833,0.167,@CNN,0.0,CNN,98,A man was threatening to jump off an overpass so these truckers parked underneath to break his fall… https://t.co/gMe3YRDj4A
98,0.0,Sat Apr 28 10:01:05 +0000 2018,1.0,0.0,@CNN,0.0,CNN,99,Nickelodeon is bringing back 'Double Dare' https://t.co/hJqRcKg93b https://t.co/Xkj4pEPnWO
99,0.0,Sat Apr 28 09:46:01 +0000 2018,1.0,0.0,@CNN,0.0,CNN,100,"Walmart's CEO earns 1,188 times as much as the company's median worker https://t.co/EfQG8ccR3e https://t.co/Ihk2Ta8Rju"
,Compound,Date,Negative,Neutral,News Outlet,Positive,Source Account,Tweets Ago,Tweets Text
0,-0.6369,Sat Apr 28 20:01:07 +0000 2018,0.652,0.25,@BBC,0.098,BBC,1,"A crisis of plastic waste in Indonesia has become so acute that the army has been called in to help.
👉… https://t.co/Qt2S1UlKNf"
1,0.765,Sat Apr 28 19:06:03 +0000 2018,0.694,0.0,@BBC,0.306,BBC,2,❤️ This make-up artist is using her skills to help scarred women feel beautiful again. https://t.co/BuQ3vMwtPn
2,0.0,Sat Apr 28 18:01:06 +0000 2018,1.0,0.0,@BBC,0.0,BBC,3,"The UK's obesity rates have more than trebled in the past 30 years. 
#BritainsFatFight https://t.co/xE8qL5t1yE"
3,0.5994,Sat Apr 28 17:02:00 +0000 2018,0.786,0.0,@BBC,0.214,BBC,4,🤖📸 @TWBBC have created a chatbot that can predict how influential your Instagram pictures will be before you post t… https://t.co/lvLPMQ8iyz
4,0.0,Sat Apr 28 16:29:48 +0000 2018,1.0,0.0,@BBC,0.0,BBC,5,RT @BBCOne: It turns out Tamsin Greig has had some... sickly... experiences during her time on stage 🤢 #TheGNShow https://t.co/SOfsgk4bre
